,isbn_13,isbn_10,lta
854,9781101177273,1101177276,
855,9780141182490,0141182490,"[""Time's All-Time 100 Novels selection"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (46)', ""The Observer's 100 Greatest Novels of All Time (46)"", '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Family and self)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 24)"", ""Norwegian Book Clubs' top 100 books of all time"", 'Publishing Triangle 100 Best Lesbian and Gay Novels', ""The Telegraph's 100 novels everyone should read (9)"", 'The Top Ten: Writers Pick Their Favorite Books (36|42 points)', ""Western World's Greatest Books - Project Gutenberg"", 'Harenberg Buch der 1000 Bücher', 'From Zero to Well-Read in 100 Books', ""The Observer's 100 Best Novels (50)"", 'Harvard Bookstore Top 100 (15)', '100 лучших книг по версии журнала ""Marie Claire""', 'BBC Culture - The 100 Greatest British Novels (3)', ""Feminista's 100 Great 20th Century Works of Fiction by Women"", 'Les meilleurs romans écrits ou traduits en français, selon les lecteurs de Livresse', 'The New Lifetime Reading Plan With Going Further (111.1)', 'Uncovered Classics (1920s)', ""Erica Jong's Top 100 20th Century Novels by Women"", 'Greatest Books algorithm (#38)']"
856,9780141182582,014118258X,['Uncovered Classics (1970s)']
857,9780141182803,0141182806,"['Waterstones Books of the Century (1997, No 4)', ""BBC's Big Read (Best loved novel, 2003, No 78)"", ""The Modern Library's 100 Best Novels: The Board's List (1)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (6)', ""The Modern Library's 100 Best Novels: The Reader's List (11)"", ""The Observer's 100 Greatest Novels of All Time (45)"", ""Larry McCaffery's 20th Century Greatest Hits (2)"", '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Family and self)', 'Århundrets bibliotek', ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", ""Newsweek's Top 100 Books: The Meta-List (2009, No. 3)"", ""Norwegian Book Clubs' top 100 books of all time"", 'SWR-Bestenliste (1976)', ""New York Public Library's Books of the Century (01|Landmarks of Modern Literature)"", 'The Globe & Mail 50 Greatest Books (7)', 'Academy Award for Writing Adapted Screenplay Nominee (1967)', 'Guardian Essential Library (Fiction)', ""Cyril Connolly's 100 Key Books of the Modern Movement (1922)"", ""Daniel S. Burt's Novel 100 (3)"", ""The Telegraph's 100 novels everyone should read (24)"", '501 Must-Read Books (Modern Fiction)', 'The Top Ten: Writers Pick Their Favorite Books (14|85 points)', ""The Essential Man's Library: 100 Must-Read Books"", ""Le Monde's 100 Books of the Century (28)"", ""Western World's Greatest Books - Project Gutenberg"", ""Philip Ward's Lifetime Reading Plan (Year 37)"", ""Boston Public Library's 100 Most Influential Books of the Century"", ""Daily Telegraph's 100 Books of the Century, 1900-1999"", ""Rant Lifestyle's 25 Greatest Books of All Time (25)"", 'From Zero to Well-Read in 100 Books', ""The Observer's 100 Best Novels (46)"", '100 лучших книг по версии Дистопии (12)', '1001 böcker du måste läsa innan du dör', 'ZEIT-Bibliothek der 100 Bücher (77)', '100 книг, которые должен прочитать каждый по мнению Дмитрия Быкова', 'Harenberg Buch der 1000 Bücher', 'Schecks Bücher (87)', '1000 Books to Read Before You Die (2018)', 'Les meilleurs romans écrits ou traduits en français, selon les lecteurs de Livresse', 'The New Lifetime Reading Plan With Going Further (110)', 'Best Works of Literature by Piero Scaruffi', 'Greatest Books algorithm (#2)', 'Aristeion (Translation, 1992)', 'Die Romane des Jahrhunderts', '100 Books That Shaped World History', 'Audie Award Finalist (Audiobook of the Year, 2005)']"
858,9780141182865,0141182865,"['Pulitzer Prize (Fiction, 1981)', 'PEN/Faulkner Award finalist (1981)', 'New York Times: Best Work of American Fiction of the Last 25 Years (Multiple Votes)', 'Guardian 1000 (Comedy)', 'Anthony Burgess: 99 Novels (1980)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'The Modern Library: the 200 best novels in English since 1950 (1980s)', '125 Great Southern Books', 'Oxford American Best Southern Books of All Time (Novels, 12)', ""The Essential Man's Library: 100 Must-Read Books"", ""Esquire's 75 Books Every Man Should Read"", 'Louisiana Literary Award (Fiction, 1981)', 'The Top Ten: Writers Pick Their Favorite Books (269|7 points)', 'Torchlight List (60)', ""BookDepository's 100 Best Books Ever"", ""David Bowie's Top 100 (1980)"", 'Los Angeles Times Book Prize finalist (Fiction, 1980)', 'ALA Notable Books for Adults (1980)', 'The Great American Read (2018)', 'The Great American Read (58)']"
859,9780141183022,0141183020,"['National Book Critics Circle Award (Criticism, 1999)']"
860,9780141183220,0141183225,"[""The Modern Library's 100 Best Nonfiction: The Board's List (8)"", ""The Modern Library's 100 Best Nonfiction: The Reader's List (28)"", ""National Review's 100 Best Nonfiction Books of the Century (90)"", '501 Must-Read Books (Memoirs)', 'Guardian 100 Greatest Non-Fiction (40|Memoir)', 'The Top Ten: Writers Pick Their Favorite Books (258|7 points)', ""Daily Telegraph's 100 Books of the Century, 1900-1999"", ""Read This Next: 500 of the Best Books You'll Ever Read (Memoir)"", 'ALA Notable Books for Adults (1967)', '1000 Books to Read Before You Die (2018)', 'The New Lifetime Reading Plan With Going Further (122.3)', 'KIB - Non Fiction books everyone should read (11)']"
861,9780141183350,0141183357,"['Waterstones Books of the Century (1997, No 48)', ""The Modern Library's 100 Best Novels: The Board's List (038)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (52)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Family and self)', 'Academy Award for Writing Adapted Screenplay (1992)', '501 Must-Read Books (Classic Fiction)', 'The Top Ten: Writers Pick Their Favorite Books (102|15 points)', 'The 100 Favorite Novels of Librarians (97)', 'BBC Culture - The 100 Greatest British Novels (17)', 'Best Works of Literature by Piero Scaruffi', ""Reader's Digest (The World's Best Reading)""]"
862,9780141183534,0141183535,"[""The Modern Library's 100 Best Nonfiction: The Board's List (4)"", ""The Modern Library's 100 Best Nonfiction: The Reader's List (25)"", 'Guardian 100 Greatest Non-Fiction (83|Society)', ""Le Monde's 100 Books of the Century (69)"", ""Boston Public Library's 100 Most Influential Books of the Century"", ""BookDepository's 100 Best Books Ever"", ""The Guardian's 100 Best Nonfiction Books of All-Time (45)"", 'KIB - Non Fiction books everyone should read (6)']"
863,9780141183596,0141183594,"[""The Modern Library's 100 Best Novels: The Board's List (028)"", 'Just Manuel Casero (1987)', 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (62)', 'Guardian 1000 (Love)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', ""The Guardian's Text on the Beach: 50 Best Summer Reads Ever (2009)"", ""Cyril Connolly's 100 Key Books of the Modern Movement (1934)"", 'The Top Ten: Writers Pick Their Favorite Books (55|27 points)', ""Western World's Greatest Books - Project Gutenberg"", ""BookDepository's 100 Best Books Ever"", '1000 Books to Read Before You Die (2018)', 'The New Lifetime Reading Plan With Going Further (159.3)', 'Greatest Books algorithm (#132)']"
864,9780141183718,0141183713,
865,9780141183725,0141183721,"['New York Times bestseller (Fiction, 1956)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', ""Western World's Greatest Books - Project Gutenberg"", '100 лучших книг по версии Дистопии (86)']"
866,9780141183787,0141183780,"['New York Times bestseller (General, 1959)', '500 Great Books by Women (Conflicting Cultures)']"
867,9780141184272,0141184272,"['Radcliffe Publishing Course Top 100 Novels of the 20th Century (63)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Science Fiction & Fantasy)', 'Publishing Triangle 100 Best Lesbian and Gay Novels', 'Guardian Essential Library (Biography)', 'Harenberg Buch der 1000 Bücher', 'Harvard Bookstore Top 100 (57)', '1001 böcker du måste läsa innan du dör', 'BBC Culture - The 100 Greatest British Novels (65)', '1000 Books to Read Before You Die (2018)', 'The New Lifetime Reading Plan With Going Further (111.3)', 'Greatest Books algorithm (#109)', 'Die Romane des Jahrhunderts', ""Erica Jong's Top 100 20th Century Novels by Women"", 'Greatest Books algorithm (#79)']"
868,9780141184289,0141184280,"['1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (War and travel)', ""New York Public Library's Books of the Century (10|War, Holocaust, Totalitarianism)"", ""Daniel S. Burt's Novel 100 (96)"", ""Tibor Fischer's top 10 eastern European novels (1)"", ""Philip Ward's Lifetime Reading Plan (Year 39)"", ""BookDepository's 100 Best Books Ever"", '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', 'ZEIT-Bibliothek der 100 Bücher (76)', '100 книг, которые должен прочитать каждый по мнению Дмитрия Быкова', '21 Best Eastern European novels (08)', 'The New Lifetime Reading Plan With Going Further (166)', 'Die Romane des Jahrhunderts', 'Harenberg Buch der 1000 Bücher']"
869,9780141184296,0141184299,
870,9780141184845,0141184841,"['1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Århundrets bibliotek', '61 Essential Postmodern Reads (12|self-contradicting plot, disrupts/plays with form, comments on its own bookishness, plays with language, includes fictional artifacts, overtly references other fictional works)', 'The Top Ten: Writers Pick Their Favorite Books (90|16 points)', ""Esquire's 75 Books Every Man Should Read"", ""Philip Ward's Lifetime Reading Plan (Year 11)"", 'The New Lifetime Reading Plan With Going Further (121.1)']"
871,9780141184883,0141184884,"['HarperCollins 100 Best Spiritual Books of the Century', ""The Essential Man's Library: 100 Must-Read Books"", ""Esquire's 75 Books Every Man Should Read""]"
872,9780141184890,0141184892,
873,9780141184999,014118499X,"[""The Observer's 100 Greatest Novels of All Time (76)"", 'Waterstones Books of the Century (1997, No 8)', 'Rómulo Gallegos (1972)', ""BBC's Big Read (Best loved novel, 2003, No 32)"", 'New York Times Best Books of the Year (1970)', 'New York Times bestseller (Fiction, 1970)', 'Meilleur livre étranger (Roman, 1969)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (War and travel)', 'Århundrets bibliotek', ""Oprah's Book Club selection (2004)"", ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", ""Newsweek's Top 100 Books: The Meta-List (2009, No. 17)"", ""Norwegian Book Clubs' top 100 books of all time"", ""New York Public Library's Books of the Century (01|Landmarks of Modern Literature)"", 'The Globe & Mail 50 Greatest Books (16)', ""Daniel S. Burt's Novel 100 (19)"", ""The Telegraph's 100 novels everyone should read (60)"", '501 Must-Read Books (Modern Fiction)', 'The Top Ten: Writers Pick Their Favorite Books (20|66 points)', 'Orange Prize for Fiction\'s ""50 Essential Reads by Contemporary Authors""', ""Le Monde's 100 Books of the Century (33)"", ""Philip Ward's Lifetime Reading Plan (Year 11)"", ""Boston Public Library's 100 Most Influential Books of the Century"", '1001 böcker du måste läsa innan du dör', ""Daily Telegraph's 100 Books of the Century, 1900-1999"", ""Rant Lifestyle's 25 Greatest Books of All Time (18)"", 'The 100 Favorite Novels of Librarians (32)', ""Read This Next: 500 of the Best Books You'll Ever Read (Family)"", ""BookDepository's 100 Best Books Ever"", 'Геном русской души (9)', 'Harvard Bookstore Top 100 (4)', '50 Great Hispanic Novels Every Student Should Read (31)', 'Best Spanish-language novels by Piero Scaruffi (2)', '100 лучших книг по версии Дистопии (39)', '29 Best Latin American novels', ""WLT's 40 Most Important Books, 1927-2001 (1967)"", '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', '100 книг, которые должен прочитать каждый по мнению Дмитрия Быкова', 'Harenberg Buch der 1000 Bücher', 'ALA Notable Books for Adults (1970)', 'The Great American Read (54)', '1000 Books to Read Before You Die (2018)', 'Les 100 livres préférés des Français (66)', 'The New Lifetime Reading Plan With Going Further (132)', 'Best Works of Literature by Piero Scaruffi', 'Greatest Books algorithm (#4)']"
874,9780141185118,0141185112,"['Commonwealth Club of California Book Awards (General Literature, Silver, 1935)', 'Torchlight List (32.4)', '1001 böcker du måste läsa innan du dör']"
875,9780141185132,0141185139,"[""The Observer's 100 Greatest Novels of All Time (58)"", 'New York Times bestseller (Fiction, 1948)', 'HarperCollins 100 Best Spiritual Books of the Century', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (State of the nation)', 'Århundrets bibliotek', ""Cyril Connolly's 100 Key Books of the Modern Movement (1947)"", 'Torchlight List (141)', 'ZEIT Literaturkanon (1945-1949)', ""Christianity Today's Books of the Century"", 'Геном русской души (76)', '100 лучших книг по версии Дистопии (20)', '1001 böcker du måste läsa innan du dör', 'Berkeley Summer Reading (2013)', 'ALA Notable Books for Adults (1948)', '1000 Books to Read Before You Die (2018)', 'Les 100 livres préférés des Français (27)', 'The New Lifetime Reading Plan With Going Further (127.1)', 'Best Works of Literature by Piero Scaruffi', 'Greatest Books algorithm (#166)', 'Harenberg Buch der 1000 Bücher']"
876,9780141185163,0141185163,
877,9780141185323,0141185325,"['1001 Books You Must Read Before You Die (2006 Edition)', 'Publishers Weekly Bestseller (Fiction, 1937)', ""Western World's Greatest Books - Project Gutenberg"", 'Audie Award Finalist (Classics, 2007)']"
878,9780141185361,0141185368,"[""The Modern Library's 100 Best Nonfiction: The Board's List (20)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (78)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Publishing Triangle 100 Best Lesbian and Gay Novels', 'Guardian 100 Greatest Non-Fiction (9|Biography)', ""Western World's Greatest Books - Project Gutenberg"", 'Harenberg Buch der 1000 Bücher', '500 Great Books by Women (Art)', '1000 Books to Read Before You Die (2018)', 'KIB - Non Fiction books everyone should read (16)', ""Erica Jong's Top 100 20th Century Novels by Women""]"
879,9780141185491,014118549X,"['1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Århundrets bibliotek', ""Cyril Connolly's 100 Key Books of the Modern Movement (1938)"", ""The Telegraph's 100 novels everyone should read (44)"", ""Philip Ward's Lifetime Reading Plan (Year 19)"", 'Геном русской души (64)', '100 лучших книг по версии Дистопии (45)', 'Grand prix des Meilleurs romans du demi-siècle (1950)', 'Canon de la narrativa universal del siglo XX (1938)', 'Os 100 melhores romances do século XX segundo a Folha de São Paulo (25)', 'Bücher des Jahrhunderts (1937)', 'Best Works of Literature by Piero Scaruffi', 'Les 100 livres préférés des Français (81)', ""I Migliori Libri del '900"", 'Самые читаемые книги на LiveLib', 'Las joyas del milenio', 'Рейтинг Livelib (1998)', 'Harenberg Buch der 1000 Bücher', 'Les 100 livres préférés des Français (81)']"
880,9780141185750,0141185759,"[""Philip Ward's Lifetime Reading Plan (Year 24)""]"
881,9780141185910,0141185910,"[""Time's All-Time 100 Novels selection"", ""The Modern Library's 100 Best Novels: The Board's List (39)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (36)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (State of the nation)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 73)"", 'The Modern Library: the 200 best novels in English since 1950 (1950s)', ""The Telegraph's 100 novels everyone should read (48)"", 'Harenberg Buch der 1000 Bücher', ""Boston Public Library's 100 Most Influential Books of the Century""]"
882,9780141185934,0141185937,['The Top Ten: Writers Pick Their Favorite Books (141|10 points)']
883,9780141186078,0141186070,"[""San Francisco Chronicle list of The 20th Century's 100 Best Nonfiction of the American West (1999)""]"
884,9780141186160,014118616X,"['Booker Prize (1978)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', ""The Guardian's Text on the Beach: 50 Best Summer Reads Ever (2009)"", '501 Must-Read Books (Modern Fiction)', 'Harvard Bookstore Top 100 (83)', 'BBC Culture - The 100 Greatest British Novels (61)', 'ALA Notable Books for Adults (1978)', '1000 Books to Read Before You Die (2018)']"
885,9780141186177,0141186178,['Lost Man Booker Prize (3|longlist)']
886,9780141186184,0141186186,"[""Philip Ward's Lifetime Reading Plan (Year 33)""]"
887,9780141186351,0141186356,"['National Book Award finalist (1957.1|Fiction, 1957)', 'Guardian 1000 (Love)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Publishing Triangle 100 Best Lesbian and Gay Novels', '501 Must-Read Books (Modern Fiction)', 'Harenberg Buch der 1000 Bücher', 'The New Lifetime Reading Plan With Going Further (139.1)']"
888,9780141186696,0141186690,"['Anthony Burgess: 99 Novels (1958)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', '500 Great Books by Women (Ethics)']"
889,9780141187068,0141187069,"['100 Essential New England Books (Boston Globe, #62)', 'Unbound Worlds 100 Best Horror Books of All-Time', '100 Best Horror Books of All Time (1928)']"
890,9780141187198,0141187190,"['Århundrets bibliotek', 'Århundredets danske bog - Berlingske Tidende (2)', 'Århundredets danske bog - Politiken (3)', 'Publishers Weekly Bestseller (Fiction, 1934)', '501 Must-Read Books (Modern Fiction)']"
891,9780141187426,0141187425,"[""CounterPunch's Top 100 [and a few more] Non-fiction Works of the 20th Century"", ""The Modern Library's 100 Best Nonfiction: The Reader's List (76)"", 'National Book Critics Circle Award finalist (Criticism, 1978)', 'Guardian 100 Greatest Non-Fiction (12|Culture)', ""BookDepository's 100 Best Books Ever"", ""The Guardian's 100 Best Nonfiction Books of All-Time (8)"", 'International Sociological Association: 1000 most influential books in Sociology (255)']"
892,9780141187884,0141187883,"[""Time's All-Time 100 Novels selection"", ""BBC's Big Read (Best loved novel, 2003, No 157)"", 'National Film Registry (1993)', ""The Modern Library's 100 Best Novels: The Reader's List (90)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (28)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Family and self)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 58)"", ""New York Public Library's Books of the Century (05|Mind & Spirit)"", ""Esquire's 75 Books Every Man Should Read"", 'The Top Ten: Writers Pick Their Favorite Books (252|7 points)', ""Rant Lifestyle's 25 Greatest Books of All Time (20)"", 'Prometheus Award Shortlist (Hall of Fame, 1989)', 'Prometheus Award Shortlist (Hall of Fame, 1990)', ""BookDepository's 100 Best Books Ever"", 'Геном русской души (43)', '100 лучших книг по версии Дистопии (4)', 'ALA 100 Most Frequently Challenged Books of 2000-2009 (49)', 'IMDb Top 250 (16)', '100 лучших книг по версии журнала ""Marie Claire""', 'Harenberg Buch der 1000 Bücher']"
893,9780141303352,0141303352,
894,9780141304311,0141304316,"['ALA Best Books for Young Adults (1988)', 'AISLE Read-Aloud Books Too Good To Miss (1991.3|Middle School, 1991)', 'VDL Dorothy Canfield Fisher Book Award Nominee', 'Sequoyah Book Award Nominee (1991.2|Young Adult, 1990-1991)']"
895,9780141306391,0141306394,"['ALA Quick Picks for Reluctant Young Adult Readers (1998)', 'Iowa Teen Award Nominee (1999-2000)', 'Young Hoosier Book Award Nominee (1999-2000.2|Middle Grades, 1999-2000)', ""IRA Young Adults' Choices Reading List (1999)"", 'NCTE Books For You: An Annotated Booklist for Senior High (2001|14th Edition: 1997-1999)']"
896,9780141307411,0141307412,"['ALA Best Books for Young Adults (2001)', 'The White Ravens (German / Germany, 2000)']"
897,9780141309408,0141309407,
898,9780141310343,0141310340,"[""IRA Children's Choices Reading List (2001)""]"
899,9780141310688,0141310685,"[""National Book Award (Children's Books, Fiction (Hardcover), 1982)"", 'ALA Best Books for Young Adults (1981)', 'A Horn Book Fanfare Best Book (1982)', 'Texas Bluebonnet Award Nominee (1984)', ""Sunshine State Young Reader's Award Nominee (1984)"", 'VDL Dorothy Canfield Fisher Book Award Nominee', 'CCBC Choices (1981.10|Fiction for Middle Readers, 1981)', ""Sequoyah Book Award Nominee (1984.1|Children's 1983-1984)"", ""William Allen White Children's Book Award Nominee (1984.1|1983-1984)"", ""Hawai'i Nēnē Award Nominee (1984)"", ""Charlie May Simon Children's Book Award Nominee"", ""Utah Beehive Book Award Nominee (1983.1|Children's, 1983)""]"
900,9780141310695,0141310693,"[""National Book Award finalist (Children's Fiction (Hardcover), 1983)"", 'ALA Best Books for Young Adults (1982)', 'A Horn Book Fanfare Best Book (1983)', 'Iowa Teen Award Nominee (1984-1985)', ""Sunshine State Young Reader's Award Nominee (1987)"", ""William Allen White Children's Book Award Nominee (1985.1|1984-1985)"", ""NCSS/CBC Notable Children's Trade Book in the Field of Social Studies (1983.5|Contemporary Interests and Controversies, 1983)""]"
901,9780141311401,0141311401,"[""Waterstones The Nation's Favourite Children's Books (1997, No 39)"", 'ALA Best Books for Young Adults (1985)', '501 Must-Read Books (Memoirs)', 'Boston Globe–Horn Book Award (1985.4|Honor, Non-Fiction, 1985)']"
902,9780141311883,0141311886,"['Newbery Honor (1983)', 'ALA Best Books for Young Adults (1982)', 'A Horn Book Fanfare Best Book (1983)', 'ALA Popular Paperbacks for Young Adults (2003.03 | Flights of Fantasy: Beyond Harry and Frodo, 2003)', 'Iowa Teen Award Nominee (1984-1985)', 'Mythopoeic Fantasy Award Nominee (1983)', 'Harvard Bookstore Top 100 (91)', ""Rebecca Caudill Young Readers' Book Award Nominee (1988)"", 'VDL Dorothy Canfield Fisher Book Award Nominee']"
903,9780141314570,0141314575,"['ALA Best Books for Young Adults (1975)', 'ALA Popular Paperbacks for Young Adults (2006.03|Criminal Elements, 2006)', 'ALA 100 Most Frequently Challenged Books of 1990-2000 (43)', 'BILBY (secondary, 1991)', 'ALA 100 Most Frequently Challenged Books of 1990-1999 (38)', ""1001 Children's Books You Must Read Before You Grow Up (2009.0834|2009, Ages 12↑)"", 'AISLE Read-Aloud Books Too Good To Miss (1990.3|Middle School, 1990)', ""Virginia Readers' Choice Award (1985.4|High School, 1984-1985)"", ""Library of Congress Children's Literature Center Children's Books (1967.03|Stories for Older Boys and Girls, 1967)"", 'The Great American Read (32)', 'Margaret A. Edwards (1988)']"
904,9780141318301,0141318309,"[""Waterstones The Nation's Favourite Children's Books (1997, No 16)"", ""BBC's Big Read (Best loved novel, 2003, No 81)"", 'Zilveren Griffel (1982)', 'BILBY (early readers, 2009)']"
905,9780141439334,0141439335,"[""H.R.F. Keating's 100 Best Crime & Mystery Books (5)"", 'Rough Guide to Crime Fiction (6)', ""Julian Symons' 100 Best Crime Stories (1899)"", 'Haycraft Queen Cornerstones (1899)', ""Newark Public Library's 1904 List of a Thousand of the Best Novels""]"
906,9780141439471,0141439475,"[""BBC's Big Read (Best loved novel, 2003, No 171)"", ""The Observer's 100 Greatest Novels of All Time (10)"", '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Science Fiction & Fantasy)', 'Newsweek 50 Books for Our Times (2009)', ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", ""Newsweek's Top 100 Books: The Meta-List (2009, No. 56)"", 'Harenberg Buch der 1000 Bücher', 'thisrecording.com 100 Greatest Science Fiction or Fantasy Novels of All Time (6)', 'Locus 1998 Poll, All-Time Best SF Novel Before 1990 (48)', 'Fantasy: The 100 Best Books (1818)', 'Horror: The 100 Best Books (1818)', ""Daniel S. Burt's Novel 100 (92)"", ""The Telegraph's 100 novels everyone should read (27)"", '501 Must-Read Books (Classic Fiction)', 'Classics of Science Fiction (42)', ""The Essential Man's Library: 100 Must-Read Books"", ""Bloomsbury's 100 Must-Read Science Fiction Novels"", 'Easton Press: The 100 Greatest Books Ever Written (106)', ""Western World's Greatest Books - Project Gutenberg"", '500 Great Books by Women (Imagined Worlds)', ""The Observer's 100 Best Novels (8)"", 'From Zero to Well-Read in 100 Books', 'The 100 Favorite Novels of Librarians (91)', ""BookDepository's 100 Best Books Ever"", 'Academy Award for Writing Adapted Screenplay Nominee (1974)', ""NPR's Top 100 Science-Fiction, Fantasy Books (20)"", '1001 böcker du måste läsa innan du dör', 'BBC Culture - The 100 Greatest British Novels (9)', '1898 C.K. Shorter List of Best 100 Novels', 'The Great American Read (43)', ""Paste Magazine's 50 Best Horror Novels of All-Time (5)"", 'Unbound Worlds 100 Best Horror Books of All-Time', 'NPR 100 Best Horror Novels and Stories (Blood Roots: Foundational Horror)', 'Schecks Bücher (55)', '1000 Books to Read Before You Die (2018)', '100 Best Horror Books of All Time (1818)', ""besthorrornovels.com's Top 25 Best Horror Books (13)"", ""besthorrornovels.com's Best Classic Horror Books (10)"", '66 Bücher, von denen alle sagen, dass du sie gelesen haben musst', '100 best novels written in English (008)', 'Greatest Books algorithm (#64)']"
907,9780141439501,0141439505,"['ALA Outstanding Books for the College Bound (1999.2|Drama, 1999)', 'Academy Award for Writing Adapted Screenplay (1938)', ""New York Public Library's Books of the Century (11|Optimism, Joy, Gentility)"", 'Academy Award for Writing Adapted Screenplay Nominee (1964)', ""Western World's Greatest Books - Project Gutenberg"", '1000 Books to Read Before You Die (2018)']"
908,9780141439518,0141439513,"[""BBC's Big Read (Best loved novel, 2003, No 02)"", '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Love)', 'Whitcoulls top 100, 2008 (3)', 'ALA Popular Paperbacks for Young Adults (2000.02|Romance -- Passion and Heartbreak, 2000)', ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", ""Newsweek's Top 100 Books: The Meta-List (2009, No. 9)"", 'AAR Top 100 Romances (200797|[Previously 1998-12 / 2000-13 / 2004-22] Most Recent Rank - 2007, #3)', ""Norwegian Book Clubs' top 100 books of all time"", 'The Globe & Mail 50 Greatest Books (19)', ""Daniel S. Burt's Novel 100 (41)"", 'Whitcoulls top 100, 2010 (7)', ""The Telegraph's 100 novels everyone should read (11)"", 'The Top Ten: Writers Pick Their Favorite Books (27|52 points)', ""Harold Bloom's Western Canon"", ""Western World's Greatest Books - Project Gutenberg"", 'Easton Press: The 100 Greatest Books Ever Written (69)', ""Philip Ward's Lifetime Reading Plan (Year 24)"", 'Museums, Libraries, and Archives Society\'s ""30 Books Every Adult Should Read Before They Die"" (7)', 'Harenberg Buch der 1000 Bücher', ""Daily Telegraph's 100 Best Novels, 1899"", 'The 100 Favorite Novels of Librarians (1)', ""BookDepository's 100 Best Books Ever"", 'World Book Night selection (2012)', 'Harvard Bookstore Top 100 (2)', ""Reader's Digest World's Best Reading (5)"", '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', '1001 böcker du måste läsa innan du dör', 'Somerset Maugham’s 10 greatest novels', 'BBC Culture - The 100 Greatest British Novels (11)', ""Newark Public Library's 1904 List of a Thousand of the Best Novels"", '1898 C.K. Shorter List of Best 100 Novels', 'The Great American Read (4)', '1000 Books to Read Before You Die (2018)', 'The New Lifetime Reading Plan With Going Further (66.2)', 'Best Works of Literature by Piero Scaruffi', 'Геном русской души (41)', '100 Books That Shaped World History', 'Schecks Bücher (15)', 'Greatest Books algorithm (#17)']"
909,9780141439587,0141439580,"[""BBC's Big Read (Best loved novel, 2003, No 40)"", ""The Observer's 100 Greatest Novels of All Time (9)"", '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Love)', ""Daniel S. Burt's Novel 100 (11)"", 'The Top Ten: Writers Pick Their Favorite Books (19|67 points)', ""Harold Bloom's Western Canon"", ""Western World's Greatest Books - Project Gutenberg"", ""Reader's Digest World's Best Reading (69)"", '500 Great Books by Women (Identity)', ""The Observer's 100 Best Novels (7)"", 'The 100 Favorite Novels of Librarians (55)', 'BBC Culture - The 100 Greatest British Novels (19)', ""Newark Public Library's 1904 List of a Thousand of the Best Novels"", '1000 Books to Read Before You Die (2018)', 'The New Lifetime Reading Plan With Going Further (66.1)', '100 лучших книг по версии журнала ""Marie Claire""', '100 best novels written in English (007)', 'Greatest Books algorithm (#59)']"
