,isbn_13,isbn_10,lta
62,9780007149612,0007149611,
63,9780007149827,0007149824,"['New York Times bestseller (Fiction, 2007)', 'New York Times Notable Book of the Year (Fiction & Poetry, 2007)', 'Edgar Award Nominee (Novel, 2008)', 'Nebula (Novel, 2007)', 'British Science Fiction Association Award Shortlist (2007.1|Novel, 2007)', ""SF Site Editor's Choice (2007)"", 'Hugo (Novel, 2008)', 'Locus (2008.1|SF Novel, 2008)', 'Sidewise Award (Long Form, 2007)', 'John W. Campbell Memorial Award Finalist (2008)', 'Commonwealth Club of California Book Awards (Fiction, Gold, 2007)', 'Book Sense Book of the Year Honor Book (2008.7 | Adult Fiction Honor Book, 2008)', 'Salon Book Award (2007)', 'Hammett Prize Nominee (2007)', 'British Book Design and Production Award (Best Jacket / Cover Design, 2007)', 'International IMPAC Dublin Literary Award Longlist (2009)', 'ALA Notable Books for Adults (2008)', 'Village Voice 25 Favorite Books (2007)', 'Ignotus Award (Foreign novel, 2009)', 'Locus Award Finalist (2008.1|Science Fiction Novel, 2008)', 'The Most Important Books of the Last Twenty Years', 'Audie Award Finalist (Literary Fiction, 2008)']"
64,9780007150304,000715030X,"[""IRA Young Adults' Choices Reading List (2003)""]"
65,9780007151240,0007151241,
66,9780007151677,0007151675,
67,9780007153589,0007153589,
68,9780007154845,0007154844,
69,9780007154883,0007154887,
70,9780007158058,000715805X,
71,9780007158515,0007158513,
72,9780007158522,0007158521,"['New York Times bestseller (Fiction, 1990)', ""1001 Children's Books You Must Read Before You Grow Up (2009.0333|2009, Ages 5↑)"", 'NCTE Adventuring with Books: A Booklist for Pre-K—Grade 6 (1993|10th Edition: 1988-1992)']"
73,9780007162994,0007162995,['ALA Best Books for Young Adults (1973)']
74,9780007171996,0007171994,"['International Fantasy Award (Fiction, 1957)', 'Waterstones Books of the Century (1997, No 1)', ""Waterstones The Nation's Favourite Children's Books (1997, No 17)"", ""Time's All-Time 100 Novels selection"", ""BBC's Big Read (Best loved novel, 2003, No 01)"", ""The Modern Library's 100 Best Novels: The Reader's List (4)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (40)', ""The Observer's 100 Greatest Novels of All Time (64)"", 'A Catholic Lifetime Reading Plan (Literary Classics)', 'HarperCollins 100 Best Spiritual Books of the Century', 'Meilleur livre étranger (Roman, 1972)', 'Whitcoulls top 100, 2008 (1)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Science Fiction & Fantasy)', ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", 'Prometheus Hall of Fame Award (2009)', 'BILBY (Older Readers, 2002)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 35)"", 'Locus 1987 Poll, All-Time Best Fantasy Novel (1)', 'Locus 1975 Poll, All-Time Best Novel (15)', 'thisrecording.com 100 Greatest Science Fiction or Fantasy Novels of All Time (13)', 'Locus 1998 Poll, All-Time Best Fantasy Novel Before 1990 (1)', 'Fantasy: The 100 Best Books (1955)', ""David Pringle's Modern Fantasy: The 100 Best Novels (1955)"", ""The Telegraph's 100 novels everyone should read (100)"", 'Whitcoulls top 100, 2010 (6)', 'ISFDB Top 100 Books - Popular List (32)', ""The Essential Man's Library: 50 Fictional Adventure Books"", 'The Top Ten: Writers Pick Their Favorite Books (268|7 points)', ""Le Monde's 100 Books of the Century (58)"", 'Museums, Libraries, and Archives Society\'s ""30 Books Every Adult Should Read Before They Die"" (3)', 'Whitcoulls top 100, 2008', 'Harenberg Buch der 1000 Bücher', 'The 100 Favorite Novels of Librarians (5)', 'Prometheus Award Shortlist (Hall of Fame, 2002)', 'Prometheus Award Shortlist (Hall of Fame, 2003)', 'Prometheus Award Shortlist (Hall of Fame, 2004)', 'Prometheus Award Shortlist (Hall of Fame, 2005)', 'Prometheus Award Shortlist (Hall of Fame, 2006)', 'Prometheus Award Shortlist (Hall of Fame, 2007)', 'Prometheus Award Shortlist (Hall of Fame, 2008)', 'Геном русской души (17)', 'Голямото четене (6)', ""Christianity Today's Books of the Century (4)"", 'Harvard Bookstore Top 100 (8)', ""NPR's Top 100 Science-Fiction, Fantasy Books (1)"", '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', '1001 böcker du måste läsa innan du dör', 'BBC Culture - The 100 Greatest British Novels (26)', 'The Great American Read (5)', 'Schecks Bücher (3)', '1000 Books to Read Before You Die (2018)', 'Les 100 livres préférés des Français', 'Les meilleurs romans écrits ou traduits en français, selon les lecteurs de Livresse', 'The New Lifetime Reading Plan With Going Further (220.4)', '66 Bücher, von denen alle sagen, dass du sie gelesen haben musst', 'ZDF Das große Lesen - Die Lieblingsbücher der Deutschen (1)', 'Greatest Books algorithm (#53)']"
75,9780007173020,0007173024,"['Ditmar Award (International Fiction, 1978)', 'Gandalf Award (Book-length Fantasy, 1978)', 'Locus (1978.2|Fantasy Novel, 1978)', 'New York Times bestseller (Fiction, 1977)', 'Gigamesh (Fantasía, Novela, 1985)', 'Locus (Best Fantasy Novel, 1978)', 'ISFDB Top 100 Books - Popular List (49)', ""The Essential Man's Library: 50 Fictional Adventure Books"", 'The SF Book Club\'s ""The Most Significant SF & Fantasy Books of the Last 50 Years From 1953-2002"" (41)', ""NPR's Top 100 Science-Fiction, Fantasy Books (46)""]"
76,9780007173136,000717313X,
77,9780007175222,0007175221,
78,9780007178636,0007178638,"['MASL Mark Twain Readers Award (1990.1|1989-1990)', ""Pacific Northwest Library Association Young Reader's Choice (1990)"", ""TASL Volunteer State Book Children's Choice Award (1991-1992)"", ""Iowa Children's Choice Award (1991)"", 'Wyoming Indian Paintbrush Award (1990)', ""Charlie May Simon Children's Book Award (1990.1|1989-1990)"", 'NE Golden Sower Award (Intermediate Award Winner, 1991)', 'Texas Bluebonnet Award (1990)', 'Buckeye Children’s Book Award (1991.2|Grades 3-5, 1991)', ""Georgia Children's Book Award (1990.2|Grades 4-8, 1989-1990)"", 'Nene Award (1991)', ""Massachusetts Children's Book Award (Winner, 1991)"", ""Sunshine State Young Reader's Award Nominee (1991)"", 'Grand Canyon Reader Award (1991)', ""Land Of Enchantment Book Award (1990.2|Children's, 1989-1990)"", ""Utah Beehive Book Award (1992.1|Children's Fiction, 1992)"", ""West Virginia Children's Choice Book Award (1991|1990-1991)"", ""Nevada Young Readers' Award (1990.3|Intermediate, 1990)"", ""Utah Beehive Book Award Nominee (1992.1|Winner Children's Fiction, 1992)"", 'Wyoming Indian Paintbrush Nominee (1990|Winner 1990)']"
79,9780007179817,0007179812,['Guardian 1000 (State of the nation)']
80,9780007179824,0007179820,
81,9780007189953,0007189958,"['Post Award (Literature, 2005)', 'Corine Award (2005)', 'Audie Award Finalist (Romance, 2006)']"
82,9780007190683,0007190689,
83,9780007191925,0007191928,
